שם הרשות,סמל הרשות,בני 4-0,בני 9-5,בני 14-10,בני 19-15,בני 29-20,בני 44-30,בני 59-45,בני 64-60,בני 65 ומעלה,בני 17-0,בני 75 ומעלה,צפיפות אוכלוסייה לקמ''ר,אוכלוסייה בסוף השנה,סך כל הישראלים,יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),יהודים (אחוזים מתוך יהודים ואחרים),ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),גברים בסוף השנה,נשים בסוף השנה
אום אל-פחם,2710,9.6,9.8,9.6,9.8,18.3,18.4,15.6,3.3,5.6,34.9,1.8,"  2,284.4 ","  59,319 ","  59,268 ",0.1,43.4,99.9,100.0,0.0,24.3,"  29,860 ","  29,460 "
אופקים,31,13.5,11.5,8.5,6.9,14.2,20.6,11.6,3.8,9.4,37.8,3.6,"  2,313.9 ","  37,838 ","  37,617 ",98.9,94.2,1.1,98.5,1.5,51.5,"  18,745 ","  19,093 "
אור יהודה,2400,9.2,8.5,7.1,6.3,12.5,20.9,16.9,5.0,13.7,28.5,5.3,"  5,273.4 ","  40,144 ","  38,531 ",99.7,97.4,0.3,96.5,3.5,26.1,"  19,939 ","  20,204 "
אור עקיבא,1020,9.0,8.7,6.9,5.9,11.5,21.6,15.9,5.4,15.1,28.4,5.9,"  4,364.0 ","  24,203 ","  23,821 ",99.4,91.2,0.6,97.8,1.4,0.7,"  11,823 ","  12,379 "
אילת,2600,6.8,7.5,7.2,6.3,13.6,21.4,19.6,5.2,12.4,25.2,4.5,  581.6 ,"  57,339 ","  54,688 ",93.9,83.8,6.1,78.3,11.0,10.7,"  30,378 ","  26,961 "
אלעד,1309,13.1,13.6,14.8,14.8,15.2,15.1,9.9,1.2,2.2,50.5,0.7,"  14,269.3 ","  49,765 ","  49,680 ",100.0,100.0,0.0,0.0,0.0,22.3,"  25,193 ","  24,572 "
אריאל,3570,6.0,7.0,6.5,5.5,24.1,17.3,15.5,5.1,13.0,23.0,5.2,"  1,511.1 ","  21,841 ","  21,590 ",96.8,81.6,3.2,60.7,9.2,30.1,"  10,986 ","  10,856 "
אשדוד,70,8.5,8.5,8.1,7.5,12.7,16.6,16.8,5.0,16.4,29.5,7.6,"  4,858.8 ","  229,173 ","  225,193 ",99.7,89.8,0.3,98.3,1.4,0.3,"  112,691 ","  116,482 "
אשקלון,7100,8.1,8.5,7.4,6.3,12.0,20.3,16.1,5.0,16.3,27.9,7.1,"  3,565.7 ","  161,745 ","  157,967 ",99.6,86.4,0.4,94.8,2.7,2.5,"  79,608 ","  82,136 "
באקה אל-גרביה,6000,9.3,9.2,9.6,9.8,17.8,19.6,15.6,3.4,5.7,33.8,1.8,"  3,444.8 ","  30,750 ","  30,705 ",0.1,62.0,99.9,100.0,0.0,6.7,"  15,297 ","  15,453 "
באר יעקב,2530,10.5,12.9,9.9,6.0,10.1,25.5,14.1,2.8,8.1,37.2,2.6,"  3,657.3 ","  34,601 ","  33,710 ",99.6,96.3,0.4,82.8,17.2,54.6,"  17,915 ","  16,686 "
באר שבע,9000,7.4,7.4,6.7,6.1,15.2,19.8,15.7,5.2,16.5,25.3,7.1,"  1,865.5 ","  218,995 ","  215,051 ",95.5,89.0,4.5,97.1,2.2,0.7,"  108,055 ","  110,940 "
בית שאן,9200,9.3,8.4,7.7,7.5,15.0,18.1,15.2,5.3,13.4,29.9,4.5,"  1,846.1 ","  20,249 ","  19,877 ",98.8,98.4,1.2,99.0,0.2,0.7,"  10,137 ","  10,111 "
בית שמש,2610,18.2,15.3,11.6,9.7,15.3,15.7,8.3,1.8,4.2,50.7,1.7,"  4,369.8 ","  167,318 ","  164,487 ",99.9,99.1,0.1,78.5,20.7,0.8,"  84,581 ","  82,737 "
ביתר עילית,3780,18.0,16.0,14.6,12.3,14.7,14.4,7.6,0.9,1.5,56.3,0.5,"  13,955.0 ","  69,281 ","  68,795 ",100.0,100.0,0.0,0.0,0.0,100.0,"  35,056 ","  34,225 "
בני ברק,6100,16.5,13.9,11.4,9.6,15.7,15.2,8.2,2.2,7.2,47.5,3.0,"  30,454.6 ","  223,786 ","  218,611 ",99.9,99.5,0.1,98.1,1.9,6.5,"  115,009 ","  108,777 "
בת ים,6200,5.3,5.9,5.5,5.3,10.8,18.3,18.5,5.8,24.6,19.9,12.1,"  15,997.9 ","  131,099 ","  127,153 ",98.9,78.4,1.1,83.2,15.3,1.5,"  62,954 ","  68,145 "
גבעת שמואל,681,9.1,9.3,8.9,8.0,13.3,18.7,15.8,3.3,13.6,32.3,6.5,"  11,123.8 ","  28,628 ","  28,064 ",99.7,98.7,0.3,100.0,0.0,54.0,"  14,355 ","  14,273 "
גבעתיים,6300,7.4,6.9,6.3,5.4,12.5,24.2,16.5,3.8,17.1,23.9,9.3,"  18,060.6 ","  58,557 ","  57,354 ",99.9,96.8,0.1,68.8,24.6,6.6,"  27,908 ","  30,649 "
גני תקווה,229,8.0,10.3,9.5,7.7,9.2,18.3,17.8,3.6,15.7,32.7,7.1,"  11,628.2 ","  25,092 ","  24,728 ",99.9,98.4,0.1,44.5,55.5,31.0,"  11,884 ","  13,209 "
דימונה,2200,9.2,8.7,7.7,7.0,14.3,18.9,16.4,4.7,13.1,29.8,5.4,  175.7 ,"  39,230 ","  38,781 ",97.7,91.4,2.3,98.0,1.8,0.2,"  19,496 ","  19,734 "
הוד השרון,9700,6.7,8.5,8.8,8.2,10.5,17.7,20.0,4.6,15.0,29.0,6.4,"  3,395.1 ","  65,393 ","  64,254 ",99.9,98.0,0.1,82.2,8.0,9.8,"  31,751 ","  33,642 "
הרצלייה,6400,7.1,7.4,6.7,6.1,11.5,19.9,16.9,4.3,19.9,25.0,9.6,"  4,978.1 ","  108,650 ","  106,033 ",99.7,95.6,0.3,89.3,8.4,2.4,"  52,490 ","  56,160 "
חדרה,6500,7.8,8.2,7.4,6.5,11.9,19.7,16.9,5.0,16.7,27.3,7.1,"  2,092.3 ","  106,767 ","  105,159 ",98.8,92.2,1.2,96.8,2.2,0.9,"  52,739 ","  54,028 "
חולון,6600,6.4,7.2,7.1,6.7,11.8,17.9,18.1,5.0,19.8,25.0,9.5,"  10,134.2 ","  192,980 ","  188,853 ",99.7,91.6,0.3,88.2,8.2,3.6,"  92,957 ","  100,023 "
חיפה,4000,6.2,6.7,6.4,6.0,13.7,19.2,16.5,4.9,20.4,22.9,10.3,"  4,539.6 ","  298,311 ","  291,620 ",86.3,83.3,13.7,51.8,46.8,1.4,"  144,107 ","  154,205 "
חריש,1247,17.3,15.2,9.0,4.5,10.9,26.7,9.7,2.0,4.7,44.6,1.3,"  4,365.5 ","  39,001 ","  38,812 ",98.3,91.7,1.7,98.4,1.2,0.4,"  19,557 ","  19,444 "
טבריה,6700,11.4,9.7,7.4,6.5,14.4,17.5,14.3,4.7,14.0,32.5,5.7,"  3,178.4 ","  51,476 ","  50,922 ",98.3,93.6,1.7,58.8,31.6,9.7,"  25,747 ","  25,729 "
