שם הרשות,סמל הרשות,מחוז,מעמד מוניציפלי,"מרחק מגבול מחוז תל אביב (ק""מ)",שנת קבלת מעמד מוניציפלי,"מרחב ימי, רשויות מקומיות הגובלות בחוף הים",מספר חברי מועצה,סמל ועדת תכנון ובנייה,שם ועדת תכנון ובנייה,"שטח (קמ""ר)"
אום אל-פחם,2710,חיפה,עירייה,60.6,1984,0,17,354,עירון,  26.03 
אופקים,31,הדרום,עירייה,87.1,1995,0,15,601,אופקים,  16.35 
אור יהודה,2400,תל אביב,עירייה,11.6,1988,0,15,510,אור יהודה,  7.61 
אור עקיבא,1020,חיפה,עירייה,39.4,2001,0,13,353,יישובי הברון,  5.55 
אילת,2600,הדרום,עירייה,323.0,1959,0,17,602,אילת,  101.49 
אלעד,1309,המרכז,עירייה,11.6,2007,0,15,422,אלעד,  3.49 
אריאל,3570,אזור יהודה והשומרון,עירייה,33.3,1998,0,13,701,אריאל,  113.47 
אשדוד,70,הדרום,עירייה,28.5,1968,1,29,603,אשדוד,  63.92 
אשקלון,7100,הדרום,עירייה,43.7,1955,1,25,604,אשקלון,  52.32 
באקה אל-גרביה,6000,חיפה,עירייה,40.6,2000,0,15,354,עירון,  9.18 
באר יעקב,2530,המרכז,עירייה,9.7,2021,0,15,455,מצפה אפק,  9.46 
באר שבע,9000,הדרום,עירייה,91.5,1877,0,27,605,באר שבע,  117.39 
בית שאן,9200,הצפון,עירייה,99.5,1999,0,13,203,בית שאן,  10.97 
בית שמש,2610,ירושלים,עירייה,43.2,1991,0,25,102,בית שמש,  38.29 
ביתר עילית,3780,אזור יהודה והשומרון,עירייה,59.1,2001,0,17,716,ביתר עילית,  113.47 
בני ברק,6100,תל אביב,עירייה,13.2,1950,0,27,501,בני ברק,  7.35 
בת ים,6200,תל אביב,עירייה,13.2,1958,1,25,502,בת ים,  9.41 
גבעת שמואל,681,המרכז,עירייה,0.4,2007,0,15,427,גבעת שמואל,  2.58 
גבעתיים,6300,תל אביב,עירייה,13.2,1959,0,17,503,גבעתיים,  3.24 
גני תקווה,229,המרכז,עירייה,1.4,2023,0,13,428,גני תקווה,  2.16 
דימונה,2200,הדרום,עירייה,129.3,1969,0,15,607,דימונה,  223.23 
הוד השרון,9700,המרכז,עירייה,7.0,1990,0,17,423,הוד השרון,  19.22 
הרצלייה,6400,תל אביב,עירייה,13.2,1960,1,21,504,הרצלייה,  24.19 
חדרה,6500,חיפה,עירייה,32.9,1952,1,21,302,חדרה,  56.28 
חולון,6600,תל אביב,עירייה,13.2,1950,0,27,505,חולון,  19.04 
חיפה,4000,חיפה,עירייה,79.6,1877,1,31,304,חיפה,  72.93 
חריש,1247,חיפה,עירייה,48.7,1996,0,15,307,חריש,  9.00 
טבריה,6700,הצפון,עירייה,113.8,1877,0,17,207,טבריה,  16.19 
טייבה,2730,המרכז,עירייה,20.6,1990,0,15,402,טייבה,  18.91 
טירה,2720,המרכז,עירייה,13.2,1991,0,15,403,טירה,  12.04 
טירת כרמל,2100,חיפה,עירייה,69.7,1992,1,15,355,מורדות הכרמל,  6.71 
טמרה,8900,הצפון,עירייה,93.4,1996,0,15,263,שפלת הגליל,  29.77 
יבנה,2660,המרכז,עירייה,14.7,1986,0,17,404,יבנה,  29.18 
יהוד-מונוסון,9400,המרכז,עירייה,2.0,1995,0,15,411,יהוד-נווה אפרים,  6.39 
יקנעם עילית,240,הצפון,עירייה,67.7,2007,0,15,222,יקנעם עילית,  9.22 
ירושלים,3000,ירושלים,עירייה,53.4,1877,0,31,101,ירושלים,  125.55 
כפר יונה,168,המרכז,עירייה,21.8,1940,0,15,430,כפר יונה,  11.51 
כפר סבא,6900,המרכז,עירייה,6.9,1963,0,21,405,כפר סבא,  14.52 
כפר קאסם,634,המרכז,עירייה,10.9,1958,0,15,451,קסם,  9.30 
כפר קרע,654,חיפה,עירייה,50.8,2023,0,13,354,עירון,  7.81 
כרמיאל,1139,הצפון,עירייה,111.2,1984,0,17,208,כרמיאל,  22.03 
לוד,7000,המרכז,עירייה,12.5,1877,0,19,406,לוד,  14.79 
מגאר,481,הצפון,עירייה,115.4,2021,0,13,251,הגליל המזרחי,  21.11 
מגדל העמק,874,הצפון,עירייה,85.9,1988,0,15,221,מגדל העמק,  9.49 
מודיעין-מכבים-רעות,1200,המרכז,עירייה,25.1,2001,0,21,420,מודיעין-מכבים-רעות,  48.33 
מודיעין עילית,3797,אזור יהודה והשומרון,עירייה,27.5,1996,0,19,730,מודיעין עילית,  113.47 
מעלה אדומים,3616,אזור יהודה והשומרון,עירייה,62.7,1991,0,15,706,מעלה אדומים,  113.47 
מעלות-תרשיחא,1063,הצפון,עירייה,121.4,1996,0,15,223,מעלות-תרשיחא,  9.26 
נהרייה,9100,הצפון,עירייה,106.0,1961,1,17,210,נהרייה,  13.87 
נוף הגליל,1061,הצפון,עירייה,87.9,1974,0,17,212,נוף הגליל,  32.86 
נס ציונה,7200,המרכז,עירייה,8.9,1992,0,15,407,נס ציונה,  15.68 
נצרת,7300,הצפון,עירייה,85.8,1877,0,19,211,נצרת,  14.17 
נשר,2500,חיפה,עירייה,81.2,1995,0,13,355,מורדות הכרמל,  12.95 
נתיבות,246,הדרום,עירייה,72.7,2000,0,17,609,נתיבות,  16.22 
נתניה,7400,המרכז,עירייה,15.6,1948,1,29,408,נתניה,  35.30 
סח'נין,7500,הצפון,עירייה,105.8,1995,0,15,262,לב הגליל,  11.53 
עכו,7600,הצפון,עירייה,97.1,1877,1,17,213,עכו,  18.10 
עפולה,7700,הצפון,עירייה,76.5,1972,0,17,215,עפולה,  29.66 
עראבה,531,הצפון,עירייה,109.3,2016,0,15,262,לב הגליל,  8.40 
ערד,2560,הדרום,עירייה,122.1,1995,0,15,610,ערד,  125.68 
פתח תקווה,7900,המרכז,עירייה,4.2,1937,0,29,410,פתח תקווה,  35.86 
צפת,8000,הצפון,עירייה,142.7,1877,0,15,216,צפת,  29.94 
קלנסווה,638,המרכז,עירייה,24.2,2000,0,13,458,מזרח השרון,  8.37 
קריית אונו,2620,תל אביב,עירייה,24.2,1992,0,15,508,קריית אונו,  5.37 
קריית אתא,6800,חיפה,עירייה,86.5,1967,0,17,305,קריית אתא,  24.16 
קריית ביאליק,9500,חיפה,עירייה,86.5,1976,0,15,352,קריות,  8.48 
קריית גת,2630,הדרום,עירייה,50.1,1972,0,17,606,קריית גת,  22.38 
קריית ים,9600,חיפה,עירייה,86.0,1976,1,15,352,קריות,  11.34 
קריית מוצקין,8200,חיפה,עירייה,86.0,1976,0,17,352,קריות,  3.84 
קריית מלאכי,1034,הדרום,עירייה,35.7,1998,0,15,617,קריית מלאכי,  4.58 
קריית שמונה,2800,הצפון,עירייה,163.3,1974,0,15,217,קריית שמונה,  14.38 
ראש העין,2640,המרכז,עירייה,11.6,1994,0,19,418,ראש העין,  15.86 
ראשון לציון,8300,המרכז,עירייה,3.6,1950,1,29,413,ראשון לציון,  61.91 
רהט,1161,הדרום,עירייה,76.7,1994,0,19,618,רהט,  33.48 
רחובות,8400,המרכז,עירייה,13.3,1950,0,25,414,רחובות,  23.76 
רמלה,8500,המרכז,עירייה,11.0,1877,0,19,415,רמלה,  13.39 
רמת גן,8600,תל אביב,עירייה,13.3,1950,0,25,506,רמת גן,  16.43 
רמת השרון,2650,תל אביב,עירייה,13.3,1949,0,17,553,רמת השרון,  16.77 
רעננה,8700,המרכז,עירייה,2.6,1982,0,19,416,רעננה,  14.86 
שדרות,1031,הדרום,עירייה,61.0,1996,0,15,611,שדרות,  10.66 
שפרעם,8800,הצפון,עירייה,89.0,1887,0,15,261,גבעות אלונים,  19.63 
תל אביב -יפו,5000,תל אביב,עירייה,0.0,1934,1,31,507,תל אביב-יפו,  57.10 
אבו גוש,472,ירושלים,מועצה מקומית,41.3,1992,0,9,152,הראל,  1.89 
אבו סנאן,473,הצפון,מועצה מקומית,105.3,1964,0,11,252,הגליל המרכזי,  6.46 
אבן יהודה,182,המרכז,מועצה מקומית,14.5,1950,0,13,457,שרונים,  8.14 
אורנית,3760,אזור יהודה והשומרון,מועצה מקומית,15.2,1990,0,11,718,אורנית,  113.47 
אזור,565,תל אביב,מועצה מקומית,15.2,1951,0,11,509,אזור,  2.44 
אכסאל,478,הצפון,מועצה מקומית,85.3,2000,0,13,257,מבוא העמקים,  9.38 
אליכין,41,המרכז,מועצה מקומית,30.3,1977,0,9,457,שרונים,  1.69 
אלפי מנשה,3750,אזור יהודה והשומרון,מועצה מקומית,18.2,1987,0,9,703,אלפי מנשה,  113.47 
אלקנה,3560,אזור יהודה והשומרון,מועצה מקומית,17.4,1981,0,9,702,אלקנה,  113.47 
אעבלין,529,הצפון,מועצה מקומית,90.5,1960,0,11,261,גבעות אלונים,  12.08 
אפרת,3650,אזור יהודה והשומרון,מועצה מקומית,66.1,1983,0,11,704,אפרתה,  113.47 
בועיינה-נוג'ידאת,482,הצפון,מועצה מקומית,108.7,1980,0,11,251,הגליל המזרחי,  7.16 
בוקעאתא,4001,הצפון,מועצה מקומית,180.1,1982,0,9,256,מעלה חרמון,  19.54 
ביר אל-מכסור,998,הצפון,מועצה מקומית,90.1,1990,0,11,261,גבעות אלונים,  5.85 
בית אל,3574,אזור יהודה והשומרון,מועצה מקומית,64.6,1997,0,9,722,בית אל,  113.47 
בית אריה-עופרים,3652,אזור יהודה והשומרון,מועצה מקומית,20.5,1989,0,9,719,בית אריה,  113.47 
בית ג'ן,480,הצפון,מועצה מקומית,125.1,1964,0,11,258,מעלה נפתלי,  7.20 
בית דגן,466,המרכז,מועצה מקומית,2.4,1953,0,9,455,מצפה אפק,  1.86 
"בני עי""ש",1066,המרכז,מועצה מקומית,27.4,1981,0,9,453,זמורה,  1.98 
בנימינה-גבעת עדה,9800,חיפה,מועצה מקומית,45.2,1950,0,13,353,יישובי הברון,  24.40 
