רשויות,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
בוקעאתא,5100,5200,5300,5400,5600,5700,5800,5800,5900,6000,6100,6200,6200,6300,6400,6500,6528,6610,6665,6752,6805,6835
גולן,10000,10300,10600,11000,11500,11900,12200,12200,12600,13200,13500,14000,15100,15600,16500,17000,17538,17982,18516,19214,20103,21484
גוש חלב (ג'יש),2600,2600,2600,2600,2700,2700,2700,2900,3000,3000,3000,3000,3000,3100,3100,3100,3090,3105,3127,3154,3216,3233
הגליל העליון,12400,12300,12200,12200,12400,12700,13000,15100,15400,16100,16400,16900,17000,17300,17400,17800,18246,18610,19042,19440,19922,20881
חצור הגלילית,8500,8500,8400,8400,8400,8600,8700,8500,8700,8700,8800,8900,8800,8800,9000,9100,9165,9272,9569,9764,10047,11061
טובא - זנגרייה,4800,4900,5000,5200,5300,5400,5500,5600,5700,5900,5900,6000,6100,6300,6400,6500,6667,6776,6896,7011,7095,7109
יסוד המעלה,1200,1200,1200,1300,1300,1300,1400,1400,1500,1500,1600,1600,1700,1600,1700,1700,1719,1730,1761,1804,1798,1965
מבואות החרמון,5500,5600,5800,5900,6000,6100,6200,6200,6300,6400,6600,6700,6800,7000,7200,7200,7242,7351,7478,7564,7728,8827
מגדל שמס,8200,8400,8600,8800,9000,9200,9300,9600,9800,9900,10200,10300,10500,10600,10800,10900,11045,11180,11267,11405,11458,11235
מטולה,1500,1500,1500,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600,1600,1600,1599,1615,1654,1693,1740,2152
מסעדה,3000,3100,3200,3200,3300,3400,3500,3100,3100,3300,3300,3400,3400,3500,3600,3600,3650,3714,3753,3812,3869,4161
מרום הגליל,10600,10800,11100,11200,11400,11600,11900,13100,13100,14000,13800,14100,14600,14900,15100,15400,15346,15524,15764,15892,16205,16846
ע'ג'ר,1800,1900,2000,2000,2100,2100,2200,2200,2200,2300,2300,2400,2400,2500,2500,2600,2607,2659,2702,2745,2806,2699
עין קיניה,1700,1800,1800,1800,1900,1900,2000,1700,1800,1800,1900,1900,1900,1900,2000,2000,2063,2098,2139,2172,2190,2438
צפת,26400,26800,27300,28202,28100,28500,28600,29500,30400,32200,32100,32900,32900,33600,33600,35300,35716,36094,36061,37472,38029,39179
קצרין,6300,6300,6400,6500,6500,6400,6500,6500,6700,6600,6700,6700,6800,6900,7000,7100,7131,7297,7500,7606,7876,8043
קרית שמונה,21600,22000,22000,22032,22000,22100,22200,23100,23300,23000,23100,23100,23100,23100,22900,22800,22624,22512,22363,22336,22492,24254
ראש פינה,2200,2300,2300,2400,2500,2500,2500,2700,2700,2700,2800,2800,2900,2900,3000,3100,3120,3148,3217,3237,3308,3376
סך הכל,7411,7528,7628,7757,7861,7978,8094,8372,8544,8789,8872,9028,9156,9294,9433,9628,9728,9849,9971,10171,10372,10877
